city_name,Date,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
cabo san lucas,1596065457,MX,22.89,-109.91,89.6,61,40,12.75
bocos,1596065457,PH,16.93,121.06,67.26,94,100,2.86
grants pass,1596065458,US,42.44,-123.33,100.4,15,20,8.05
oranjemund,1596065458,NA,-28.55,16.43,53.83,83,0,11.88
kyaikkami,1596065458,MM,16.08,97.57,78.67,85,97,4.85
mareeba,1596065458,AU,-17.0,145.43,69.01,61,12,1.99
santiago de las vegas,1596065458,CU,22.97,-82.39,84.2,79,40,12.75
college,1596065332,US,64.86,-147.8,68.0,52,75,8.05
bowen,1596065459,AU,-20.02,148.23,72.0,68,0,4.7
avarua,1596065459,CK,-21.21,-159.78,71.6,78,36,10.29
guayaramerin,1596065459,BO,-10.84,-65.36,81.03,50,25,3.4
xiashi,1596065459,CN,30.54,120.69,84.2,74,99,6.71
dom pedrito,1596065198,BR,-30.98,-54.67,40.41,82,0,4.5
parrita,1596065459,CR,9.52,-84.32,75.2,64,40,12.75
bengkulu,1596065459,ID,-3.8,102.27,73.89,88,71,3.89
lahat,1596065460,ID,-3.8,103.53,72.03,79,99,0.89
mahebourg,1596065460,MU,-20.41,57.7,69.8,83,75,8.05
skegness,1596065460,GB,53.14,0.34,60.8,77,98,3.36
bereda,1596065460,ES,43.27,-7.54,63.0,100,53,3.0
santiago del estero,1596065460,AR,-27.8,-64.26,51.21,40,61,9.31
katsuura,1596065461,JP,35.13,140.3,72.0,84,98,3.0
nuuk,1596065438,GL,64.18,-51.72,46.4,93,91,4.7
pangnirtung,1596065461,CA,66.15,-65.71,53.6,87,75,3.36
dunedin,1596065450,NZ,-45.87,170.5,50.0,71,99,8.01
galle,1596065461,LK,6.04,80.22,79.02,87,97,13.47
ixtapa,1596065461,MX,20.7,-105.2,77.0,94,90,6.93
sungaipenuh,1596065461,ID,-2.08,101.38,63.9,91,91,3.38
cuenca,1596065461,EC,-2.88,-78.98,57.2,87,75,3.4
tessalit,1596065462,ML,20.2,1.01,94.14,20,3,8.93
golden,1596065213,US,39.76,-105.22,93.0,17,75,21.92
nemuro,1596065462,JP,43.32,145.57,64.35,86,3,13.38
port-gentil,1596065462,GA,-0.72,8.78,77.0,83,75,13.69
boissevain,1596065462,CA,49.23,-100.06,81.0,54,1,5.84
tondon,1596065462,GN,10.37,-13.35,72.91,95,100,3.47
geraldton,1596065463,AU,-28.77,114.6,48.2,81,0,8.05
naze,1596065463,JP,28.37,129.48,86.0,84,20,10.29
lagoa,1596065463,PT,39.05,-27.98,73.81,91,12,26.82
sistranda,1596065463,NO,63.73,8.83,57.2,87,75,10.29
kloulklubed,1596065463,PW,7.04,134.26,78.8,94,90,11.36
dongsheng,1596065463,CN,39.82,109.98,75.81,47,100,20.09
port blair,1596065463,IN,11.67,92.75,80.42,83,98,19.3
lata,1596065463,PT,40.16,-8.33,72.0,96,0,1.88
santa maria,1596065464,BR,-29.68,-53.81,44.6,75,0,4.7
brae,1596065464,GB,60.4,-1.35,51.8,93,100,17.22
new norfolk,1596065462,AU,-42.78,147.06,50.0,78,16,1.01
alihe,1596065454,CN,50.57,123.72,75.76,68,71,3.58
saint anthony,1596065267,US,45.02,-93.22,82.4,44,1,8.05
nome,1596065464,US,64.5,-165.41,51.01,87,90,11.41
guilford,1596065464,US,36.07,-79.8,84.0,78,75,14.99
plaster rock,1596065464,CA,46.91,-67.39,78.8,57,1,2.73
marsh harbour,1596065465,BS,26.54,-77.06,83.05,74,49,9.75
skjervoy,1596065465,NO,70.03,20.97,59.43,72,68,14.09
ancud,1596065465,CL,-41.87,-73.82,44.01,93,99,2.24
ossora,1596065465,RU,59.24,163.07,58.12,87,90,7.81
gizo,1596065465,SB,-8.1,156.84,84.06,74,9,10.85
souillac,1596065453,MU,-20.52,57.52,69.8,83,75,8.05
deputatskiy,1596065465,RU,69.3,139.9,44.69,64,62,8.55
bellevue,1596065171,US,47.61,-122.2,88.0,34,1,8.05
